id,nombre,facebook
SB-REST-AUD-30FA52DA,Wild Wings | Tuxtla Gutiérrez,https://www.facebook.com/p/Wild-Wings-61558146467320
SB-REST-AUD-E44A3466,Wings Las Alitas Tuxtla,https://www.facebook.com/TragonDeAlitas
SB-REST-AUD-BF2FBC09,Wings Michs | Tuxtla Gutiérrez,https://www.facebook.com/61565815304353
SB-REST-AUD-50FC4894,Wingstop Tuxtla Gutiérrez,https://www.facebook.com/WingstopTuxtla
SB-REST-AUD-BF9E5600,Winx Alitas | Tuxtla Gutiérrez,https://www.facebook.com/WinxAlitas
SB-REST-AUD-6035A005,WONTON COMIDA CHINA,https://www.facebook.com/WontonRestauranteChino
SB-REST-AUD-DC534D08,XAMA CAFE | Tuxtla Gutiérrez,https://www.facebook.com/p/XAMA-CAFE-61552723471163
SB-REST-AUD-10E2A735,Yaxchilán Restaurante y Cafetería | Tuxtla Gutiérrez,https://www.facebook.com/Yaxchilancafeteria
SB-REST-AUD-E12D2F15,Yo-yi Ramen & Sushi (@yoyiramensushi) - Mentions,https://www.facebook.com/yoyiramensushi
SB-REST-AUD-4F3380DB,𝗩𝗔𝗟𝗨 𝗪𝗜𝗡𝗚𝗦 | Tuxtla Gutiérrez,https://www.facebook.com/valu.alitasyhamburguesas
